S_path,S_translate
Data\Signs\A.png,A
Data\Signs\B.png,B
Data\Signs\C.png,C
Data\Signs\D.png,D
Data\Signs\E.png,E
Data\Signs\F.png,F
Data\Signs\G.png,G
Data\Signs\H.png,H
Data\Signs\I.png,I
Data\Signs\J.png,J
Data\Signs\K.png,K
Data\Signs\L.png,L
Data\Signs\M.png,M
Data\Signs\N.png,N
Data\Signs\O.png,O
Data\Signs\P.png,P
Data\Signs\Q.png,Q
Data\Signs\R.png,R
Data\Signs\S.png,S
Data\Signs\T.png,T
Data\Signs\U.png,U
Data\Signs\V.png,V
Data\Signs\W.png,W
Data\Signs\X.png,X
Data\Signs\Y.png,Y
Data\Signs\Z.png,Z
