S_path,S_translate,S_stage
Data\Signs\Bad.png,Bad,2
Data\Signs\Close.png,Close,2
Data\Signs\Deaf.png,Deaf,2
Data\Signs\Drink.png,Drink,2
Data\Signs\Eat.png,Eat,2
Data\Signs\Go.png,Go,2
Data\Signs\Good.png,Good,2
Data\Signs\Hello.png,Hello,2
Data\Signs\Help.png,Help,2
Data\Signs\Hurt.png,Hurt,2
Data\Signs\I.png,I,2
Data\Signs\Love.png,Love,2
Data\Signs\Me.png,Me,2
Data\Signs\Need.png,Need,2
Data\Signs\No.png,No,2
Data\Signs\Open.png,Open,2
Data\Signs\Play.png,Play,2
Data\Signs\Please.png,Please,2
Data\Signs\Sorry.png,Sorry,2
Data\Signs\Stop.png,Stop,2
Data\Signs\Thank_You.png,Thank_You,2
Data\Signs\Want.png,Want,2
Data\Signs\We.png,We,2
Data\Signs\When.png,When,2
Data\Signs\Who.png,Who,2
Data\Signs\Yes.png,Yes,2
Data\Signs\You.png,You,2
